zerocross,ktosis,rms,peaks,mean,mean_abs,std,median,skewness,crest,entrpy,energy,shapiro,kl,rkl,abs_acc_5,max_freq,max_abs,shape,impulse,p2p
10,-0.41075779724454087,0.099491745,0.4287109375,-0.09338669,0.09342891,0.034315202,0.094823375,0.08428239316152622,1.9399793,5.713445629169998,20.272346,0.9964205026626587,0.006117945960849932,0.006127449221437007,0.18387157,191,0.19301192,1.0648925,2.0658693,0.20608115
6,-0.571998399501406,0.10077549,0.42333984375,-0.09478471,0.09479376,0.034228012,0.09551312,0.10968483951464489,1.8962741,5.747829567703814,20.79887,0.9932038187980652,0.010515538204018342,0.010842592664598923,0.18089111,194,0.19109794,1.0631026,2.0159338,0.19534323
8,-0.4796231699511164,0.101530366,0.42822265625,-0.09541735,0.09544698,0.03469791,0.0977235,0.13279869760127133,1.7880073,5.765433926792124,21.111633,0.9940505623817444,0.008294570166425916,0.008485297469906778,0.17836949,195,0.18153703,1.0637357,1.9019673,0.19518657
2,-0.523601526971182,0.10100786,0.43212890625,-0.09529033,0.09529215,0.033501357,0.09634507,0.09519731415364878,1.7919163,5.7950444542022,20.894897,0.9940927028656006,0.007595732477612851,0.007734967006695519,0.17477866,195,0.18099762,1.0599809,1.899397,0.18286322
2,-0.43473359518738564,0.101394095,0.43310546875,-0.0953996,0.09541066,0.034346424,0.09664853,0.07207303844274832,2.1264477,5.631876068819372,21.055,0.9958640336990356,0.008088266913299889,0.008450092916220684,0.19103943,195,0.21560924,1.0627124,2.2598023,0.2269287
2,-0.482814690140704,0.102609746,0.4345703125,-0.096489355,0.09650017,0.034907926,0.09684312,0.06237784291615018,1.9126447,5.715528004386631,21.5629,0.9956281781196594,0.0072200703100667,0.007155489299787158,0.1906038,197,0.196256,1.0633116,2.0337372,0.2073322
6,-0.4364765531585042,0.10175737,0.43505859375,-0.09583019,0.0958406,0.034221895,0.09723704,0.1435826233737682,2.0427127,5.661783749488964,21.206144,0.9938451051712036,0.011954376026183853,0.012490588126961957,0.19317111,196,0.20786107,1.0617355,2.1688206,0.21602033
4,-0.43610725542376594,0.10137741,0.4375,-0.09548879,0.095504664,0.03404806,0.09658319,0.10050924354953943,1.9177941,5.717239240718836,21.048073,0.9956287741661072,0.007829719533200455,0.007866034893449163,0.188277,195,0.19442101,1.0614917,2.0357227,0.20382601
2,-0.34438050633054207,0.1012334,0.4375,-0.09542203,0.095428854,0.03380586,0.09661268,0.10518223444706189,2.364091,5.545404947422071,20.988316,0.9952437281608582,0.009013910334235684,0.009660283013015844,0.19640943,195,0.23932496,1.060826,2.5078888,0.24631146
14,-0.2290205356770887,0.10069596,0.43212890625,-0.09457195,0.094668806,0.034580693,0.09474936,0.10087690455645644,2.0203319,5.574755147445228,20.766056,0.9973591566085815,0.00539399296951715,0.005192485664922823,0.1934863,193,0.20343927,1.0636656,2.1489577,0.24198358
0,-0.4454478892475775,0.10111887,0.43115234375,-0.09541838,0.09541838,0.033471752,0.097165585,0.11691671962971736,1.9359186,5.745968569360231,20.940853,0.99532550573349,0.007223310333334564,0.007244261564502244,0.18552461,195,0.1957579,1.0597421,2.0515742,0.19463234
8,-0.4537719384102368,0.101175286,0.43701171875,-0.09523478,0.095253795,0.034158096,0.09545611,0.11624628766472363,1.9068485,5.725103633441593,20.964226,0.9948041439056396,0.009169903149939974,0.00903023456304781,0.18728197,195,0.19292594,1.0621654,2.0253885,0.19946891
4,-0.5079341682699794,0.101158,0.43701171875,-0.09515087,0.095158644,0.034340248,0.09497869,0.054246917011814826,1.9672915,5.731700869456343,20.957064,0.9951182007789612,0.008632330339260877,0.008714952538625071,0.18814988,194,0.19900727,1.0630459,2.091321,0.20380959
8,-0.37332862632050645,0.10018546,0.43505859375,-0.09437898,0.09441893,0.033611517,0.09525378,0.10105599231911212,1.9504142,5.626674926306649,20.556034,0.9962104558944702,0.007274522855694757,0.00722336087671703,0.18693453,193,0.19540314,1.0610739,2.0695336,0.22182187
4,-0.4322864525256995,0.10070467,0.4404296875,-0.09514671,0.095150545,0.032992955,0.09608556,0.09617367437360926,1.932159,5.720720426933593,20.76965,0.9958478808403015,0.007185539254765195,0.007306206903755972,0.18931657,194,0.19457743,1.058372,2.0449429,0.19692644
8,-0.4409402768076709,0.10053613,0.43408203125,-0.0947147,0.094735175,0.033714082,0.09564012,0.046109013737589695,2.1038473,5.621912197025964,20.700188,0.9956663250923157,0.008859625731263853,0.00895394918440187,0.19421232,193,0.21151266,1.0612334,2.232673,0.22329569
6,-0.5065756358442455,0.101678714,0.43310546875,-0.095982105,0.09601505,0.033555884,0.09654322,0.10431122775344429,1.8914334,5.634042246396602,21.173374,0.9940040707588196,0.010460973496706308,0.010551528529069576,0.1828042,196,0.19231851,1.0589873,2.0030038,0.21515384
4,-0.534188683243142,0.10106755,0.4296875,-0.09512366,0.095132664,0.03414875,0.09608604,0.09332588957384788,1.9591111,5.712171113558394,20.919601,0.9943446516990662,0.009451343720075448,0.009680019387121423,0.18510868,194,0.19800256,1.0623853,2.081331,0.2030231
0,-0.4602993426502482,0.10101417,0.43994140625,-0.095106326,0.095106326,0.034038942,0.096693665,0.09269616563423781,2.0059316,5.74225265927419,20.897509,0.9953943490982056,0.007872704080430495,0.008296702983753875,0.18822415,194,0.20262751,1.0621183,2.1305366,0.20124604
2,-0.4703389310427304,0.10139412,0.42236328125,-0.09573078,0.09574023,0.03341233,0.096646786,0.09672314596815247,2.0207744,5.654054036974426,21.055012,0.9953808784484863,0.00838516055387784,0.008618265548099002,0.18721665,196,0.20489463,1.0590545,2.14011,0.21456741
0,-0.35417054896987343,0.10251805,0.42578125,-0.09673987,0.09673987,0.033931505,0.09611258,-0.007473840823515936,2.2612019,5.583644741099044,21.52438,0.9961292743682861,0.0073645238165532265,0.007461551077928865,0.20945385,198,0.23181401,1.059729,2.3962612,0.23152745
4,-0.38482187456081896,0.10152911,0.4345703125,-0.09587209,0.09589799,0.03341709,0.096423745,0.0503609680592587,1.9028387,5.679623464743228,21.11111,0.9969426393508911,0.005786028698854343,0.005719152026522236,0.18932885,196,0.19319351,1.0587199,2.014573,0.20722426
2,-0.4181325553494646,0.10087405,0.4365234375,-0.09518405,0.095186174,0.033400163,0.09468044,0.012808282327430608,1.9748496,5.706198031268118,20.839577,0.9966464638710022,0.006407477683799251,0.006350904323944144,0.18802395,194,0.19921108,1.0597553,2.0928574,0.20138054
6,-0.44472782013140266,0.1010886,0.435546875,-0.09505241,0.09506431,0.034408495,0.09563427,0.04156461378928829,2.2554088,5.604345242779664,20.928318,0.995430052280426,0.009045023273368539,0.009302434157662102,0.19681258,194,0.22799611,1.0633706,2.3983355,0.23341955
4,-0.38281086938086073,0.10148113,0.4306640625,-0.09570347,0.09570721,0.033753015,0.09670849,0.10726751739295429,2.0585182,5.680368404551714,21.091164,0.9962707757949829,0.006909918089679748,0.007412184085366656,0.19209151,196,0.20890075,1.0603291,2.1827066,0.2115074
2,-0.4153568733332045,0.101208985,0.42578125,-0.09567858,0.09568752,0.032998,0.09622362,0.10862059889031211,1.9297426,5.687413585861323,20.978193,0.9960609674453735,0.006871927709904547,0.006962685328126292,0.18702956,195,0.19530728,1.057703,2.0410945,0.20447183
10,-0.316997399579384,0.10151625,0.43310546875,-0.09546379,0.09548934,0.03452843,0.09611285,0.02318134235010152,1.9801929,5.663457521829578,21.105762,0.9983177781105042,0.003206652212342509,0.003122694187257433,0.19355892,195,0.20102175,1.0631161,2.1051748,0.21975365
6,-0.4775431676895301,0.10071703,0.42529296875,-0.094555184,0.09458486,0.034687694,0.09478575,0.04565637363946061,1.9142133,5.690086552795858,20.77475,0.995566725730896,0.008127598490077643,0.007945142271563926,0.18723622,193,0.19279388,1.0648324,2.0383165,0.21227032
6,-0.5199461274714374,0.101139516,0.43798828125,-0.095522165,0.095534414,0.033237297,0.09574079,0.03995842297859762,2.012587,5.653480448940575,20.949406,0.9941107630729675,0.0121654704698036,0.012468385529236284,0.19118725,195,0.20355208,1.058671,2.1306677,0.21249864
4,-0.3875378461932093,0.09991272,0.435546875,-0.09438607,0.094394065,0.03276918,0.09516531,0.09476248424266769,2.1459424,5.599298884828996,20.444263,0.9957998394966125,0.008468855857404128,0.008944769537368176,0.18967204,193,0.21440695,1.0584639,2.2714028,0.220859
2,-0.14809365465529467,0.10132618,0.42333984375,-0.09530341,0.09530614,0.03441301,0.0960103,-0.020646512295761303,2.7787488,5.422551743504759,21.026806,0.9946292042732239,0.009422541958753097,0.010470563374112212,0.20441163,195,0.28156,1.0631653,2.9542692,0.28435668
4,-0.27794434935160783,0.10345242,0.4228515625,-0.09713592,0.0971428,0.035595186,0.097766206,0.014831624417888777,2.0239258,5.709885556127785,21.918522,0.9982154965400696,0.002957249448595803,0.0029155742093825835,0.20408078,198,0.20938002,1.064952,2.1553838,0.21609388
0,-0.552693948800508,0.100902505,0.43701171875,-0.09517074,0.09517074,0.033523817,0.09514829,0.028716172037239585,1.8801672,5.783455901528901,20.851334,0.9945243000984192,0.008313362019022394,0.008495662099186441,0.18015586,194,0.18971358,1.0602262,1.9934025,0.18709484
3,-0.5153701382136182,0.101077504,0.43896484375,-0.09510245,0.09511845,0.034237187,0.09625001,0.08178499821533405,1.988747,5.671617841324206,20.923723,0.9945210218429565,0.01034085550622471,0.01069041635120913,0.18634865,194,0.20101759,1.0626488,2.1133397,0.21582824
2,-0.5067454488972118,0.100349374,0.435546875,-0.09457444,0.094590254,0.033551052,0.09605576,0.14035374176187496,1.9311808,5.676022873454764,20.623354,0.9937734007835388,0.010543487401989014,0.010904816059260422,0.18301986,193,0.19379279,1.060885,2.0487607,0.2099888
6,-0.5665148598432013,0.10101058,0.4326171875,-0.095109105,0.09513176,0.03402053,0.095981136,0.1426858933820996,1.7551515,5.737715620889595,20.896027,0.99198979139328,0.010988056495479055,0.010839179584812541,0.17575197,194,0.17728887,1.0617967,1.863614,0.19544731
12,-0.36587249937865707,0.10138816,0.42626953125,-0.09504271,0.095068805,0.03530498,0.095415495,0.08760897848006045,1.9342394,5.7430357957374865,21.052536,0.9969897270202637,0.004849788763534013,0.004803514556082255,0.19311258,194,0.19610897,1.0664713,2.062811,0.20487864
2,-0.4171080419411344,0.10142231,0.435546875,-0.09589528,0.09589763,0.033023916,0.09645753,0.008545010583923453,2.1546345,5.62398485236778,21.066721,0.9966437816619873,0.006443020811825561,0.0065886111386627335,0.19401872,196,0.218528,1.0576102,2.2787633,0.22093034
8,-0.27576581032388514,0.10145474,0.43408203125,-0.09563507,0.0956941,0.033867367,0.09607624,0.08027057702455447,2.0541577,5.5806622831082295,21.080196,0.9975627660751343,0.0053350152701250615,0.005266867482132926,0.19335611,195,0.20840403,1.0601984,2.1778147,0.23433524
10,-0.3856676184380974,0.101183474,0.4306640625,-0.094969906,0.09498419,0.034911517,0.09502384,0.052745092840649155,1.9981807,5.6968232206140605,20.96762,0.9971868991851807,0.0048285329554345995,0.00500514424154611,0.18799672,194,0.20218287,1.0652665,2.128595,0.21380183
4,-0.4858887719431646,0.10106766,0.43896484375,-0.09501903,0.095024064,0.0344392,0.095964044,0.10112807754261595,2.0683253,5.6964557204934945,20.91965,0.9946243762969971,0.009682716825223411,0.009971003227408372,0.19102356,194,0.20904079,1.0636007,2.199872,0.21204698
10,-0.35114116326353395,0.10166377,0.4248046875,-0.09546018,0.09548646,0.034969658,0.096319005,0.06178703603550971,2.1511343,5.623784684024015,21.167149,0.9972261190414429,0.005532721299880067,0.005530276770795729,0.19864786,195,0.2186924,1.064693,2.2902975,0.23129252
4,-0.40854951650115856,0.10108694,0.43359375,-0.095100805,0.095117435,0.034269623,0.095723405,0.04202277926432414,2.0772438,5.641461385618893,20.92763,0.9970636367797852,0.005757333593840946,0.005984606808519592,0.19083543,194,0.2099822,1.0627593,2.2076101,0.22575007
4,-0.39903169887735057,0.10170058,0.43212890625,-0.095598966,0.09561366,0.034696512,0.097065665,0.09149084726211033,2.107386,5.638235735218226,21.18248,0.9961777329444885,0.007083590876021363,0.007167635231486408,0.19684187,195,0.21432239,1.0636617,2.2415457,0.22615151
4,-0.32811071867908126,0.10145527,0.4326171875,-0.095346294,0.095362686,0.034673564,0.09509583,-0.015940223033086322,2.3245223,5.56311199474624,21.080418,0.9967370629310608,0.00689612410024763,0.006807805092787116,0.2059261,195,0.23583503,1.0638885,2.4730327,0.24777143
2,-0.410779204426019,0.1010207,0.4306640625,-0.09516657,0.09517082,0.033889618,0.095084995,0.023323379295123948,2.1443667,5.650071235331655,20.900213,0.9963963031768799,0.006932746208494763,0.007086664790767293,0.19825388,194,0.21662544,1.0614672,2.276175,0.22097625
14,-0.39713659250433464,0.10089558,0.42578125,-0.09483956,0.09487584,0.034429304,0.09590678,0.1169296319912735,2.1065688,5.632312001427211,20.848473,0.9958066344261169,0.008084930461977181,0.008589184109618248,0.18943481,194,0.21254349,1.0634487,2.2402277,0.22722995
4,-0.44283859535582026,0.10116747,0.43212890625,-0.095144466,0.095148236,0.034385864,0.096037865,0.077016142845787,2.0184762,5.713560645561623,20.960987,0.9958817958831787,0.007375752094498524,0.00790891413671077,0.19379584,194,0.20420413,1.0632616,2.1461682,0.20649269
4,-0.34355635985367616,0.10099848,0.4326171875,-0.09511629,0.09512333,0.033964515,0.09581508,0.05739119397299718,1.8854804,5.753581619187164,20.891022,0.9975557923316956,0.0038576479073688576,0.003809037071030177,0.18783757,194,0.19043066,1.0617635,2.0019343,0.19635199
14,-0.3288059122191953,0.10098087,0.43212890625,-0.094719194,0.09478654,0.035005856,0.09566531,0.07834869281471506,1.9878725,5.677834949026167,20.883736,0.9972642660140991,0.005356840786157633,0.005345612954435854,0.1940712,193,0.20073709,1.0653503,2.1177804,0.21794146
6,-0.3944184207021819,0.101178296,0.42431640625,-0.09532945,0.095339775,0.03390197,0.09716472,0.13159484913329958,1.8617357,5.764328941971858,20.965473,0.9960389137268066,0.00529203131823003,0.0052998018206634545,0.18266158,195,0.18836725,1.0612391,1.9757468,0.19377647
20,-0.3338961123226496,0.10175074,0.4345703125,-0.09529029,0.09541941,0.035678763,0.096053205,0.163318439422045,2.02325,5.5833394369050655,21.203379,0.9945339560508728,0.010467387016493954,0.010810009100939688,0.1947089,195,0.2058672,1.0663527,2.1574981,0.24407533
5,-0.1992721035474565,0.10074408,0.43115234375,-0.09497887,0.09501824,0.033591434,0.09535773,0.01759566138809427,2.4279263,5.453759696670918,20.785912,0.9973006248474121,0.006002831377114132,0.00577610322362868,0.20080817,194,0.24459921,1.0602605,2.5742342,0.26464233
2,-0.38609244673171395,0.10085855,0.43310546875,-0.094916806,0.09492151,0.0341064,0.0949576,0.09106738849049144,2.1334577,5.644937306635198,20.833172,0.9962275624275208,0.0071202844891283335,0.007693587938634769,0.19355658,194,0.21517743,1.0625468,2.2668986,0.21998967
8,-0.3495668739723232,0.101262294,0.42626953125,-0.09535775,0.09538908,0.034072742,0.09646406,0.10916974996108283,1.831573,5.741644201792196,21.0003,0.9969817996025085,0.0036190871750029566,0.0035807808905117607,0.18183383,195,0.18546928,1.0615711,1.944345,0.19864677
2,-0.579434287367965,0.10102587,0.44189453125,-0.094942845,0.0949457,0.034526538,0.09596144,0.12459304269921388,1.9663976,5.737301203107774,20.902351,0.9922533631324768,0.013371845242749689,0.014865599902491118,0.18083678,194,0.19865704,1.0640384,2.0923226,0.20158121
6,-0.41969657041457076,0.10146922,0.4345703125,-0.09541625,0.09542432,0.03452159,0.09635797,0.0732907566957381,1.9165057,5.748347423917198,21.086212,0.9961134791374207,0.0066458163704610634,0.006687088966708867,0.18871586,195,0.19446634,1.0633476,2.0379117,0.20017263
6,-0.4480696032332543,0.10092942,0.42626953125,-0.0947011,0.0947296,0.03490631,0.09525428,0.023804011064209433,1.8760195,5.7444719322750135,20.86246,0.9959869384765625,0.006918909069126866,0.007017599803201037,0.1848765,193,0.18934555,1.0654474,1.9988003,0.20136735
8,-0.36132108710189126,0.10138344,0.4375,-0.0950671,0.095090166,0.035225693,0.09639192,0.0768316144540467,2.1376886,5.637332189225957,21.050575,0.9963391423225403,0.0073889435245199555,0.007308123373136252,0.20006856,194,0.21672623,1.0661821,2.2791655,0.22773647
4,-0.35042545876779796,0.101440035,0.4296875,-0.09538528,0.095398515,0.034521416,0.096145414,0.0023613953782933624,2.258233,5.6014143379581025,21.074085,0.9970148801803589,0.0059288971963842784,0.0059369362206197875,0.20215034,195,0.22907524,1.0633293,2.4012454,0.23713236
4,-0.48922760187909864,0.10169097,0.43896484375,-0.09545825,0.09547729,0.035053905,0.09664351,0.05246968541063439,2.0423775,5.665089864075115,21.178478,0.9957845211029053,0.007582611185683253,0.007925541230511427,0.18883088,195,0.20769136,1.0650802,2.1752958,0.21940035
12,-0.16419070828227422,0.101386935,0.42626953125,-0.09533182,0.09537022,0.034513146,0.09592572,0.05638858539438186,2.2822807,5.5466046629775025,21.052029,0.9987212419509888,0.0029386292016307216,0.0031006065899441175,0.1999614,195,0.23139344,1.063088,2.4262652,0.24772336
7,-0.19328539119392207,0.10154132,0.42578125,-0.095315635,0.09536242,0.035008132,0.09680109,0.09318860506478195,2.3217082,5.499603920985434,21.116188,0.9965083003044128,0.007816107820332993,0.009446634713566736,0.20468703,195,0.2357493,1.0647938,2.4721406,0.26633748
8,-0.42605758139370264,0.10182442,0.42822265625,-0.095907025,0.09591726,0.034206063,0.09663579,0.10877779413574232,1.9525598,5.706234932378198,21.234098,0.9956387281417847,0.0074349442135279425,0.007331445211317103,0.18995251,196,0.19881827,1.0615859,2.0728102,0.20429905
2,-0.3098506565878494,0.10115046,0.4326171875,-0.09484817,0.09485676,0.035145972,0.0965779,0.05138149354371771,2.2629225,5.602715533421971,20.95394,0.996088445186615,0.007554298612479612,0.007440852113145799,0.20769286,194,0.22889565,1.0663495,2.4130661,0.23768812
4,-0.3124869255798566,0.10166142,0.427734375,-0.09546531,0.09552099,0.034948807,0.09641302,0.0932338650881651,1.9525515,5.5926187975302994,21.16617,0.9970844388008118,0.005418495180638289,0.0054751598525486665,0.18989319,195,0.19849916,1.0642836,2.0780685,0.24158964
10,-0.4690516849696267,0.10170179,0.42138671875,-0.09519047,0.09521742,0.03580541,0.095412396,0.03586381973984722,2.129263,5.673789411421463,21.182985,0.9958932399749756,0.007797277870282126,0.008387897210406078,0.19577867,194,0.21654984,1.0681007,2.274267,0.22636324
6,-0.4712500085941125,0.10113661,0.42626953125,-0.0952105,0.095227376,0.034111194,0.09631348,0.0665212987409124,2.134253,5.623878904644421,20.9482,0.9955075979232788,0.008809805434819098,0.009575325131279596,0.1889925,194,0.21585111,1.0620539,2.266692,0.22611403
12,-0.351629916839161,0.10109435,0.44384765625,-0.094858065,0.094920844,0.034957316,0.09674519,0.1912903151324089,2.037604,5.6395289822966745,20.930698,0.9943888187408447,0.010052369011394212,0.010828556750954331,0.18926069,194,0.20599025,1.0650384,2.1701267,0.2252126
12,-0.31475992341357095,0.101355985,0.43310546875,-0.09506318,0.09515412,0.035157178,0.09624204,0.12162839868261223,2.018748,5.631604837245295,21.039177,0.9968352317810059,0.005690152961594655,0.006002023630472654,0.18761949,194,0.2046122,1.0651771,2.150324,0.23006912
8,-0.3260884176279064,0.10160789,0.427734375,-0.09551503,0.09553703,0.034656055,0.09579688,0.035726654170855396,2.1121848,5.6420810534651995,21.143887,0.9980606436729431,0.0038291546529431084,0.003927958798769106,0.19628121,195,0.21461464,1.0635446,2.2464027,0.22630362
6,-0.39498274750118734,0.101737745,0.43017578125,-0.09562133,0.095625535,0.03474378,0.09670161,0.0717396652193842,2.027957,5.710394439634186,21.197964,0.9965453743934631,0.006123154969498777,0.006294143225629539,0.1978044,195,0.20631978,1.0639182,2.1575804,0.2095644
6,-0.3789207971384454,0.101165354,0.42578125,-0.09506992,0.09512018,0.034585238,0.095673844,0.05242334691395835,2.1998296,5.532527066391091,20.96011,0.9963775277137756,0.007841474632242381,0.008117752119136712,0.19627073,194,0.22254653,1.0635531,2.3396354,0.25375244
2,-0.33580217115506183,0.10122858,0.431640625,-0.095231526,0.09524026,0.03432464,0.09597429,0.008950767736096554,2.0636094,5.660590868895751,20.986317,0.9974188804626465,0.004899966977118434,0.004949188616930444,0.19852495,195,0.20889623,1.062876,2.1933606,0.21783864
10,-0.3485858634070276,0.101451635,0.4248046875,-0.095091835,0.09518099,0.03535502,0.09583695,0.08047850407967265,2.057817,5.593245026619316,21.078907,0.9966529011726379,0.006901097636809931,0.007120893639192916,0.19334872,194,0.2087689,1.0658813,2.1933887,0.24660638
18,-0.35595626799013447,0.10139017,0.41748046875,-0.09454253,0.09461984,0.036628895,0.095302805,0.10674510927165586,2.0067914,5.696014450184092,21.053371,0.9968858361244202,0.005460409576863519,0.005463428078167106,0.19691609,193,0.2034689,1.071553,2.150383,0.22474001
4,-0.37958648009696416,0.10098692,0.43115234375,-0.09467712,0.09470335,0.035136875,0.09530693,0.06013190402348207,2.175429,5.609317531002684,20.886238,0.9969754815101624,0.005997109369474,0.006345230074579914,0.1926594,193,0.21968989,1.0663501,2.3197691,0.23641767
